N.º;País (o territorio dependiente);Población estimada por la ONU para mediados del año  1950;% del total mundial;#;País;Índice de Desarrollo Humano[10]​[1]​;Índice de Desarrollo Humano[10]​[1]​.1;Índice de Desarrollo Humano[10]​[1]​.2;Índice de Desarrollo Humano[10]​[1]​.3;Índice de Desarrollo Humano[10]​[1]​.4;Índice de Desarrollo Humano[10]​[1]​.5;Índice de Desarrollo Humano[10]​[1]​.6
50;Afganistán;7 480 000;30.0;181°;Afganistán;0496;0495;0501;0496;0465;0351;0001
128;Albania;1 253 000;5.0;71°;Albania;0810;0806;0794;0769;0769;0682;0004
6;Alemania;70 964 000;284.0;5°;Alemania;0959;0955;0955;0948;0936;0897;0004
224;Andorra;6 000;0.0;32°;Andorra;0913;0893;0851;0869;0870;0825;0020
70;Angola;4 478 000;18.0;148°;Angola;0616;0615;0610;0603;0528;0391;0001
225;Anguila (RU);5 000;0.0;;;;;;;;;
196;Antigua y Barbuda;45 000;0.0;53°;Antigua y Barbuda;0851;0848;0840;0839;0827;N / D;0003
88;Arabia Saudita;3 090 000;12.0;37°;Arabia Saudita;0900;0893;0875;0851;0801;0737;0007
37;Argelia;9 020 000;36.0;96°;Argelia;0763;0761;0742;0737;0718;0651;0002
27;Argentina;17 018 000;68.0;47°;Argentina;0865;0858;0851;0859;0844;0789;0007
124;Armenia;1 385 000;6.0;69°;Armenia;0811;0801;0761;0777;0747;0667;0010
198;Aruba (PB);39 000;0.0;;;;;;;;;
43;Australia;8 177 000;33.0;7°;Australia;0958;0952;0950;0938;0929;0897;0006
53;Austria;6 936 000;28.0;22°;Austria;0930;0927;0925;0919;0912;0879;0003
85;Azerbaiyán;3 159 000;13.0;81°;Azerbaiyán;0789;0784;0757;0771;0744;0656;0006
178;Bahamas;82 000;0.0;66°;Bahamas;0820;0818;0797;0807;0801;0787;0002
;;;;130°;Bangladesh;0685;0680;0663;0621;0561;0477;0008
12;Bangladés;39 729 000;159.0;;;;;;;;;
165;Barbados;211 000;1.0;69°;Barbados;0811;0807;0803;0800;0797;0762;0004
173;Baréin;117 000;0.0;38°;Baréin;0899;0902;0885;0868;0810;0775;0003
182;Belice;69 000;0.0;115°;Belice;0721;0717;0713;0721;0727;0671;0004
103;Benín;2 264 000;9.0;173°;Benín;0515;0512;0504;0511;0485;0415;0003
201;Bermudas (RU);37 000;0.0;;;;;;;;;
45;Bielorrusia;7 907 000;32.0;65°;Bielorrusia;0824;0824;0815;0825;0803;0724;0000
25;Birmania;17 732 000;71.0;;;;;;;;;
87;Bolivia;3 090 000;12.0;108°;Bolivia;0733;0727;0697;0704;0677;0630;0006
94;Bosnia y Herzegovina;2 693 000;11.0;74°;Bosnia y Herzegovina;0804;0799;0783;0769;0725;0674;0005
154;Botsuana;413 000;2.0;111°;Botsuana;0731;0729;0718;0690;0652;0594;0002
8;Brasil;53 955 000;216.0;84°;Brasil;0786;0780;0770;0764;0748;0690;0006
194;Brunéi;48 000;0.0;60°;Brunéi;0837;0825;0836;0839;0830;0792;0012
51;Bulgaria;7 158 000;29.0;55°;Bulgaria;0845;0835;0826;0809;0790;0733;0010
74;Burkina Faso;4 214 000;17.0;186°;Burkina Faso;0459;0457;0453;0419;0379;0333;0002
104;Burundi;2 254 000;9.0;187°;Burundi;0439;0437;0435;0432;0416;0308;0002
169;Bután;176 000;1.0;125°;Bután;0698;0695;0688;0637;0593;N / D;0003
40;Bélgica;8 617 000;34.0;10°;Bélgica;0951;0945;0939;0933;0921;0894;0006
168;Cabo Verde;185 000;1.0;135°;Cabo Verde;0668;0664;0647;0658;0648;0585;0004
71;Camboya;4 380 000;18.0;151°;Camboya;0606;0602;0595;0562;0543;0438;0004
72;Camerún;4 316 000;17.0;155°;Camerún;0588;0581;0579;0575;0529;0439;0007
30;Canadá;13 743 000;55.0;16°;Canadá;0939;0935;0931;0932;0918;0894;0004
219;Caribe Neerlandés (PB);7 000;0.0;;;;;;;;;
205;Catar;24 000;0.0;43°;Catar;0886;0883;0872;0860;0834;0795;0003
97;Chad;2 513 000;10.0;190°;Chad;0416;0417;0408;0396;0375;0303;0002
55;Chile;6 624 000;27.0;45°;Chile;0878;0869;0856;0855;0823;0771;0011
1;China;543 979 000;2177.0;78°;China;0797;0796;0786;0750;0710;0598;0001
148;Chipre;494 000;2.0;32°;Chipre;0913;0908;0905;0882;0869;0808;0005
236;Ciudad del Vaticano;1 000;0.0;;;;;;;;;
33;Colombia;11 770 000;47.0;83°;Colombia;0788;0782;0764;0767;0741;0679;0006
170;Comoras;162 000;1.0;152°;Comoras;0603;0602;0592;0565;0534;0461;0001
34;Corea del Norte;11 103 000;44.0;;;;;;;;;
23;Corea del Sur;20 104 000;80.0;20°;Corea del Sur;0937;0928;0928;0914;0894;0830;0009
134;Costa Rica;948 000;4.0;62°;Costa Rica;0833;0823;0819;0803;0776;0720;0010
93;Costa de Marfil;2 737 000;11.0;157°;Costa de Marfil;0582;0553;0553;0519;0465;0419;0017
77;Croacia;3 865 000;15.0;41°;Croacia;0889;0886;0867;0852;0831;0769;0003
60;Cuba;5 927 000;24.0;97°;Cuba;0762;0764;0762;0769;0783;0697;0002
175;Curazao (PB);100 000;0.0;;;;;;;;;
73;Dinamarca;4 268 000;17.0;4°;Dinamarca;0962;0959;0954;0943;0920;0896;0003
192;Dominica;50 000;0.0;98°;Dominica;0761;0759;0753;0741;0747;0721;0002
180;EAU;75 000;0.0;15°;EAU;0940;0921;0909;0857;0835;0790;0019
80;Ecuador;3 519 000;14.0;88°;Ecuador;0777;0773;0740;0764;0737;0683;0004
20;Egipto;21 150 000;85.0;100°;Egipto;0754;0751;0736;0706;0677;0639;0003
108;El Salvador;2 182 000;9.0;132°;El Salvador;0678;0674;0660;0667;0660;0607;0004
139;Eritrea;823 000;3.0;178°;Eritrea;0503;0499;0495;0480;0465;0474;0004
82;Eslovaquia;3 466 000;14.0;44°;Eslovaquia;0880;0873;0867;0861;0851;0774;0007
120;Eslovenia;1 445 000;6.0;21°;Eslovenia;0931;0926;0918;0909;0896;0829;0005
16;España;28 070 000;112.0;28°;España;0918;0911;0901;0895;0875;0833;0007
;;;;149°;Estados Federados de Micronesia;0615;0614;0609;0604;0603;0596;0001
3;Estados Unidos;148 282 000;593.0;17°;Estados Unidos;0938;0930;0925;0928;0919;0895;0008
132;Estonia;1 102 000;4.0;36°;Estonia;0905;0902;0901;0888;0868;0793;0003
;;;;127°;Esuatini;0695;0695;0657;0607;0534;0493;0000
26;Etiopía;17 710 000;71.0;180°;Etiopía;0497;0494;0486;0456;0415;0293;0003
24;Filipinas;18 470 000;74.0;117°;Filipinas;0720;0714;0699;0690;0669;0632;0006
75;Finlandia;4 008 000;16.0;12°;Finlandia;0948;0946;0947;0938;0920;0898;0002
156;Fiyi;308 000;1.0;111°;Fiyi;0731;0726;0718;0715;0697;0698;0005
11;Francia;41 842 000;167.0;26°;Francia;0920;0916;0909;0901;0888;0852;0004
149;Gabón;473 000;2.0;108°;Gabón;0733;0730;0732;0720;0684;0652;0003
157;Gambia;307 000;1.0;170°;Gambia;0524;0519;0512;0482;0463;0403;0005
81;Georgia;3 517 000;14.0;57°;Georgia;0844;0838;0822;0807;0799;0705;0006
66;Ghana;5 078 000;20.0;144°;Ghana;0628;0625;0614;0588;0558;0487;0003
208;Gibraltar (RU);21 000;0.0;;;;;;;;;
179;Granada;77 000;0.0;80°;Granada;0791;0789;0782;0782;0771;0744;0005
47;Grecia;7 669 000;31.0;34°;Grecia;0908;0897;0896;0888;0876;0828;0011
207;Groenlandia (Dinamarca);23 000;0.0;;;;;;;;;
164;Guadalupe (Francia);215 000;1.0;;;;;;;;;
187;Guam (EE. UU.);61 000;0.0;;;;;;;;;
